date,interest
2006-01-31,5.440006849315068
2006-02-28,15.573604109589041
2006-03-31,31.639150684931504
2006-04-30,41.16197123287671
2006-05-31,52.790927397260276
2006-06-30,56.518442465753424
2006-07-31,59.43744246575343
2006-08-31,58.74430273972603
2006-09-30,57.76783698630137
2006-10-31,61.9606698630137
2006-11-30,60.737613698630135
2006-12-31,63.270963013698626
2007-01-31,64.71049589041095
2007-02-28,59.65513835616438
2007-03-31,67.23597671232876
2007-04-30,66.3890506849315
2007-05-31,69.70536438356164
2007-06-30,68.41562328767124
2007-07-31,72.12827397260274
2007-08-31,73.45912739726027
2007-09-30,71.7608493150685
2007-10-31,74.20739452054795
2007-11-30,71.37824931506849
2007-12-31,93.24848209589041
2008-01-31,136.6780137409589
2008-02-29,142.7088111141096
2008-03-31,151.13052997082193
2008-04-30,154.84745677526027
2008-05-31,167.94566718841094
2008-06-30,152.72622233024657
2008-07-31,121.80443075128768
2008-08-31,100.24380314375342
2008-09-30,110.10447015536987
2008-10-31,420.77367802819174
2008-11-30,522.7702950050684
2008-12-31,568.8550332995068
2009-01-31,437.76670456772604
2009-02-28,177.45405466147943
2009-03-31,131.65188083865752
2009-04-30,98.44417082769863
2009-05-31,78.99897133506849
2009-06-30,61.87624913567124
2009-07-31,47.69172385934247
2009-08-31,38.949541259095895
2009-09-30,27.62209413342466
2009-10-31,20.68520807589041
2009-11-30,15.983552497643835
2009-12-31,13.356128919287672
2010-01-31,13.221821443671233
2010-02-28,10.237142146219178
2010-03-31,11.383428968410959
2010-04-30,11.016365210410958
2010-05-31,11.096084518301371
2010-06-30,9.256304318082192
2010-07-31,7.373112066849315
2010-08-31,5.245963364931507
2010-09-30,2.802130904109589
2010-10-31,2.1890517602739723
2010-11-30,1.5879341369863011
2010-12-31,1.1253972602739726
2011-01-31,0.7729808219178083
2011-02-28,0.46192054794520543
2011-03-31,0.2819643835616438
2011-04-30,0.1504767123287671
2011-05-31,0.059616438356164383
